"","EVENT","M","Period","dBe"
"389","6000338",8.31,1,-0.195684823531967
"390","6000339",7.82,1,-0.0156469102711884
"391","ak0219neiszm",8.2,1,0.368157606145819
"392","us10007mn3",7.6,1,0.99741036855157
"393","us2000d3km",7.2,1,0.753206148949888
"394","us7000asvb",7.8,1,0.339116342299971
"395","us7000i9bw",7.6,1,0.234840233195577
"396","us7000kg30",7.2,1,0.255034673784864
"397","3000105",7.66,1.5,-0.259902715262025
"398","3000177",7.38,1.5,-0.846974624933927
"399","4000001",9.12,1.5,-0.825903012746228
"400","4000002",7.36,1.5,-0.410456381307636
"401","4000068",8.29,1.5,-0.294248685906662
"402","4000094",7.76,1.5,-0.503342992482627
"403","4000095",8.26,1.5,-0.321160887983829
"404","4000096",7.65,1.5,-0.137493502167359
"405","4000165",6.74,1.5,-0.52488488766597
"406","6000057",8.41,1.5,1.11785193840242
"407","6000079",8.15,1.5,0.00633966632257649
"408","6000149",8.81,1.5,0.349200848779794
"409","6000272",8,1.5,-0.195661453767924
"410","6000323",7.98,1.5,-0.248697458865461
"411","6000338",8.31,1.5,-0.260801762651889
"412","6000339",7.82,1.5,0.128100873888788
"413","ak0219neiszm",8.2,1.5,0.543753006067067
"414","us10007mn3",7.6,1.5,0.925022531499831
"415","us2000d3km",7.2,1.5,0.662696054442697
"416","us7000asvb",7.8,1.5,0.392184764507776
"417","us7000i9bw",7.6,1.5,0.443867556531099
"418","us7000kg30",7.2,1.5,0.260511125299512
"419","3000105",7.66,2,-0.133552091131497
"420","3000177",7.38,2,-0.815806369876752
"421","4000001",9.12,2,-0.776688478340954
"422","4000002",7.36,2,-0.397852123817199
"423","4000068",8.29,2,-0.311597582872713
"424","4000094",7.76,2,-0.377007114187226
"425","4000095",8.26,2,-0.259428187331948
"426","4000096",7.65,2,-0.155770950345038
"427","4000165",6.74,2,-0.516940744088592
"428","6000057",8.41,2,1.02390312298122
"429","6000079",8.15,2,-0.036286318621291
"430","6000149",8.81,2,0.292508780447221
"431","6000272",8,2,0.00197498998285047
"432","6000323",7.98,2,-0.497808642636652
"433","6000338",8.31,2,-0.185755370197788
"434","6000339",7.82,2,0.11997584838499
"435","ak0219neiszm",8.2,2,0.545243799295909
"436","us10007mn3",7.6,2,0.927758051563857
"437","us2000d3km",7.2,2,0.736908963406261
"438","us7000asvb",7.8,2,0.28673047397054
"439","us7000i9bw",7.6,2,0.439949267991425
"440","us7000kg30",7.2,2,0.0895406754233931
"441","3000105",7.66,2.5,-0.146430176457127
"442","3000177",7.38,2.5,-1.03480591627664
"443","4000001",9.12,2.5,-0.782118218411904
"444","4000002",7.36,2.5,-0.42811477014765
"445","4000068",8.29,2.5,-0.256704305281027
"446","4000094",7.76,2.5,-0.285765032010962
"447","4000095",8.26,2.5,-0.127133028561714
"448","4000096",7.65,2.5,-0.214382367246591
"449","4000165",6.74,2.5,-0.457781231339189
"450","6000057",8.41,2.5,1.15261808461749
"451","6000079",8.15,2.5,-0.116896262413472
"452","6000149",8.81,2.5,0.118728448983914
"453","6000272",8,2.5,0.0734134848199083
"454","6000323",7.98,2.5,-0.560916800312992
"455","6000338",8.31,2.5,-0.174732830325479
"456","6000339",7.82,2.5,0.153709870437726
"457","ak0219neiszm",8.2,2.5,0.565940318479658
"458","us10007mn3",7.6,2.5,0.943076975691544
"459","us2000d3km",7.2,2.5,0.768989617472189
"460","us7000asvb",7.8,2.5,0.275696398877957
"461","us7000i9bw",7.6,2.5,0.445893907034391
"462","us7000kg30",7.2,2.5,0.0877138323699958
"463","3000105",7.66,3,-0.110271759184878
"464","3000177",7.38,3,-0.902499941830588
"465","4000001",9.12,3,-0.811502822514862
"466","4000002",7.36,3,-0.46604011013623
"467","4000068",8.29,3,-0.199417558004196
