"","EVENT","M","Period","dBe"
"321","6000272",8,0.4,-0.154908346059167
"322","6000323",7.98,0.4,-0.146191522796117
"323","6000338",8.31,0.4,-0.278752554029754
"324","6000339",7.82,0.4,0.386880255371644
"325","ak0219neiszm",8.2,0.4,0.196798492659573
"326","us10007mn3",7.6,0.4,0.796458604904611
"327","us2000d3km",7.2,0.4,0.600205088234214
"328","us7000asvb",7.8,0.4,0.378049939924906
"329","us7000i9bw",7.6,0.4,0.0152427433871862
"330","us7000kg30",7.2,0.4,0.357803277948852
"331","3000105",7.66,0.5,-0.297448435019892
"332","3000177",7.38,0.5,-1.29689986903428
"333","4000001",9.12,0.5,-0.464058633842708
"334","4000002",7.36,0.5,-0.406958254596697
"335","4000068",8.29,0.5,-0.444047569745927
"336","4000094",7.76,0.5,-0.100830446141025
"337","4000095",8.26,0.5,-0.608752574367109
"338","4000096",7.65,0.5,-0.26876123003029
"339","4000165",6.74,0.5,-0.215827896955118
"340","6000057",8.41,0.5,1.11038580202639
"341","6000079",8.15,0.5,-0.0243452323881104
"342","6000149",8.81,0.5,0.300230451719097
"343","6000272",8,0.5,-0.150537408538433
"344","6000323",7.98,0.5,-0.142111089983814
"345","6000338",8.31,0.5,-0.220742141182244
"346","6000339",7.82,0.5,0.496619258645523
"347","ak0219neiszm",8.2,0.5,0.199723732541111
"348","us10007mn3",7.6,0.5,0.935370728632726
"349","us2000d3km",7.2,0.5,0.649252251729654
"350","us7000asvb",7.8,0.5,0.464991474577217
"351","us7000i9bw",7.6,0.5,0.113775331332431
"352","us7000kg30",7.2,0.5,0.370971750621494
"353","3000105",7.66,0.75,-0.126757041728243
"354","3000177",7.38,0.75,-1.40218477265068
"355","4000001",9.12,0.75,-0.536557110170261
"356","4000002",7.36,0.75,-0.496624752073672
"357","4000068",8.29,0.75,-0.614659039456656
"358","4000094",7.76,0.75,-0.237826402469191
"359","4000095",8.26,0.75,-0.595791754778761
"360","4000096",7.65,0.75,-0.218099967968581
"361","4000165",6.74,0.75,-0.211472154170092
"362","6000057",8.41,0.75,1.23051915641842
"363","6000079",8.15,0.75,-0.00662295297155294
"364","6000149",8.81,0.75,0.467828413077473
"365","6000272",8,0.75,-0.272880477807418
"366","6000323",7.98,0.75,-0.161627495023499
"367","6000338",8.31,0.75,-0.296467265123481
"368","6000339",7.82,0.75,0.382865738416585
"369","ak0219neiszm",8.2,0.75,0.230016476012262
"370","us10007mn3",7.6,0.75,1.03203317431022
"371","us2000d3km",7.2,0.75,0.658786859916646
"372","us7000asvb",7.8,0.75,0.561733283084206
"373","us7000i9bw",7.6,0.75,0.190713008756427
"374","us7000kg30",7.2,0.75,0.42307507639984
"375","3000105",7.66,1,-0.030468348003035
"376","3000177",7.38,1,-1.24104820117518
"377","4000001",9.12,1,-0.578695548649137
"378","4000002",7.36,1,-0.551539095754912
"379","4000068",8.29,1,-0.598799416397636
"380","4000094",7.76,1,-0.357969540840428
"381","4000095",8.26,1,-0.474832089829414
"382","4000096",7.65,1,-0.125384296022742
"383","4000165",6.74,1,-0.281841695289975
"384","6000057",8.41,1,1.11566662886503
"385","6000079",8.15,1,-0.0513002583028184
"386","6000149",8.81,1,0.517089571381254
"387","6000272",8,1,-0.206705227246054
"388","6000323",7.98,1,-0.117857300865573
"389","6000338",8.31,1,-0.340307940072231
"390","6000339",7.82,1,0.310682618348481
"391","ak0219neiszm",8.2,1,0.249783193567978
"392","us10007mn3",7.6,1,0.998773340697112
"393","us2000d3km",7.2,1,0.69028241736871
"394","us7000asvb",7.8,1,0.48755959208403
"395","us7000i9bw",7.6,1,0.217113740940281
"396","us7000kg30",7.2,1,0.369797855196261
"397","3000105",7.66,1.5,-0.107781379320796
"398","3000177",7.38,1.5,-1.13546267789904
"399","4000001",9.12,1.5,-0.566134103882103
"400","4000002",7.36,1.5,-0.519792588557951
"401","4000068",8.29,1.5,-0.571316875829022
"402","4000094",7.76,1.5,-0.509928732660918
"403","4000095",8.26,1.5,-0.593163061375357
"404","4000096",7.65,1.5,-0.359198166656595
"405","4000165",6.74,1.5,-0.444790984190214
"406","6000057",8.41,1.5,1.01782198218102
"407","6000079",8.15,1.5,-0.0696466428156567
"408","6000149",8.81,1.5,0.48097394105287
"409","6000272",8,1.5,-0.175904829044718
"410","6000323",7.98,1.5,-0.091075399461413
"411","6000338",8.31,1.5,-0.391075930894966
"412","6000339",7.82,1.5,0.419457132077962
"413","ak0219neiszm",8.2,1.5,0.4469210220787
"414","us10007mn3",7.6,1.5,0.970401194214286
"415","us2000d3km",7.2,1.5,0.700656832378381
"416","us7000asvb",7.8,1.5,0.554519011350695
"417","us7000i9bw",7.6,1.5,0.491611023062933
"418","us7000kg30",7.2,1.5,0.453411021794828
"419","3000105",7.66,2,-0.018308786473877
"420","3000177",7.38,2,-1.10332532642546
"421","4000001",9.12,2,-0.554761314969555
"422","4000002",7.36,2,-0.47757026306668
"423","4000068",8.29,2,-0.555250060853117
"424","4000094",7.76,2,-0.372781780857321
"425","4000095",8.26,2,-0.489914900651196
"426","4000096",7.65,2,-0.362081162073979
"427","4000165",6.74,2,-0.460845058708787
"428","6000057",8.41,2,0.941067628103523
"429","6000079",8.15,2,-0.112244099293318
"430","6000149",8.81,2,0.411451188257962
